    station  jaargemiddelde
0   NL01485        9.164345
1   NL01487       10.050092
2   NL01488       10.110829
3   NL01489        9.422667
4   NL01491        9.555176
5   NL01494        9.997247
6   NL01495        9.346652
7   NL01496        9.938948
8   NL01912        9.549949
9   NL01913       11.284714
10  NL10131       10.367700
11  NL10136        9.280664
12  NL10138        7.605480
13  NL10230       10.128012
14  NL10240       10.584616
15  NL10241        9.178119
16  NL10247       10.562133
17  NL10248        5.168889
18  NL10404        7.381561
19  NL10418        8.873164
20  NL10444        9.274975
21  NL10448        9.656321
22  NL10449       10.522108
23  NL10450       10.536326
24  NL10538        8.112992
25  NL10636       11.236042
26  NL10641        8.471764
27  NL10643       10.440389
28  NL10644        8.210931
29  NL10738        8.830380
30  NL10741        9.672739
31  NL10742       10.004647
32  NL10821        7.384767
33  NL10934        7.173391
34  NL10937        8.037947
35  NL10938        8.232207
36  NL49007        9.591520
37  NL49012       10.888941
38  NL49014        9.650542
39  NL49016        8.386331
40  NL49017       10.530354
41  NL49551       10.786554
42  NL49553       11.500737
43  NL49556        7.848507
44  NL49557       12.686206
45  NL49561       10.195232
46  NL49570        9.594054
47  NL49572       10.089898
48  NL49573       11.652461
49  NL49701        9.218075
50  NL49703        8.802090
51  NL49704       10.329302
52  NL53001       11.267633
53  NL53004       11.846014
              NL01485    NL01487    NL01488    NL01489    NL01491    NL01494  \
dag                                                                            
2022-01-01  12.475000  16.191667  16.670833  12.045833  12.500000  13.229167   
2022-01-02   6.845833   7.550000   7.154167   6.695833   6.983333   7.575000   
2022-01-03   8.216667   8.958333   8.537500   7.654167   9.066667   9.808333   
2022-01-04   5.083333   5.895833   5.350000   5.429167   5.765217   5.833333   
2022-01-05   6.525000   8.216667   7.445833   6.400000   6.891667   7.047826   
2022-01-06   5.954167   6.958333   6.070833   5.866667   6.404167   6.650000   
2022-01-07   5.012500   6.870833   5.962500   5.566667   5.708333   5.954167   
2022-01-08   4.425000   6.520833   5.558333   5.429167   4.775000   5.095833   
2022-01-09   7.041667   8.670833   7.704167   7.233333   7.820833   8.220833   
2022-01-10  17.616667  19.316667  17.566667  18.033333  17.787500  19.162500   
2022-01-11  18.808333  19.420833  18.404167  18.241667  19.395833  20.766667   
2022-01-12  14.141667  17.900000  16.658333  15.604167  18.104167  20.258333   
2022-01-13  12.312500  14.620833  14.187500  13.745833  18.600000  18.175000   
2022-01-14  14.858333  17.045833  16.162500  15.729167  17.825000  18.833333   
2022-01-15  22.716667  24.787500  23.887500  22.708333  23.450000  25.262500   
2022-01-16  21.687500  29.033333  23.816667  25.058333  21.262500  22.479167   
2022-01-17  10.270833  17.800000  11.412500   9.516667  10.158333  10.283333   
2022-01-18  12.266667  13.662500  11.883333  12.979167  10.787500  12.383333   
